City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
169,Catemaco,MX,87.78,overcast clouds,18.4167,-95.1167,Hotel Playa Cristal
171,Makakilo City,US,82.15,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
172,Nizwa,OM,85.33,broken clouds,22.9333,57.5333,Orient Apartments
175,Lucea,JM,77.86,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
176,Kavieng,PG,82.74,light rain,-2.5744,150.7967,Nusa Island Retreat
177,Caravelas,BR,75.36,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
179,Hithadhoo,MV,83.48,scattered clouds,-0.6,73.0833,Scoop Guest House
185,Salalah,OM,84.29,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
187,Najran,SA,79.45,few clouds,17.4924,44.1277,محمد هادي ال فطيح
190,Victoria,HK,85.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
197,Bengkulu,ID,75.33,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
201,Rock Sound,BS,78.24,clear sky,24.9,-76.2,Rock Sound Club
203,Takoradi,GH,80.76,overcast clouds,4.8845,-1.7554,Raybow International Hotel
205,Mecca,SA,89.13,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
210,Stephenville,US,82.94,scattered clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
212,Caucaia,BR,84.07,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
214,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
217,Hobyo,SO,78.58,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
220,Phan Thiet,VN,77.92,broken clouds,10.9333,108.1,Hotel Saigon-PT
222,Rayong,TH,85.8,broken clouds,12.8333,101.4333,Suan Palm Garden View Hotel
224,Abonnema,NG,75.49,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
233,Sawakin,SD,84.67,clear sky,19.1059,37.3321,فندق الدويم
236,Port-Gentil,GA,80.56,overcast clouds,-0.7193,8.7815,Fengshui Residence
242,Tautira,PF,84.22,overcast clouds,-17.7333,-149.15,Pension Oaoa
251,Tarauaca,BR,81.18,overcast clouds,-8.1614,-70.7656,Flat Temporada
252,Ciudad Ojeda,VE,81.72,overcast clouds,10.1964,-71.3082,Amira minimarket
259,Kahului,US,82.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
260,Veraval,IN,82.6,broken clouds,20.9,70.3667,Lords Inn Somnath
262,Weligama,LK,79.25,broken clouds,5.9667,80.4167,Weligama Bay Resort
