,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Tuatapere,NZ,-46.1333,167.6833,49.82,92,100,8.93,light rain
212,Caucaia,BR,-3.7361,-38.6531,84.07,76,20,5.21,few clouds
213,Selenginsk,RU,52.0064,106.8647,39.61,80,99,2.57,overcast clouds
214,Touros,BR,-5.1989,-35.4608,79.7,79,7,13.8,clear sky
215,Geraldton,AU,-28.7667,114.6,63.01,72,40,16.22,scattered clouds
216,Dudinka,RU,69.4058,86.1778,11.17,97,41,4.0,scattered clouds
217,Hobyo,SO,5.3505,48.5268,78.58,82,85,21.09,overcast clouds
218,Mareeba,AU,-17.0,145.4333,65.12,86,52,2.48,broken clouds
219,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,43.39,81,75,2.42,broken clouds
220,Phan Thiet,VN,10.9333,108.1,77.92,90,81,6.13,broken clouds
221,Kalabo,ZM,-14.97,22.6814,56.21,33,0,2.71,clear sky
222,Rayong,TH,12.8333,101.4333,85.8,86,81,3.58,broken clouds
223,Orange Cove,US,36.6244,-119.3137,91.62,18,53,8.66,broken clouds
224,Abonnema,NG,4.7084,6.7931,75.49,87,91,4.68,overcast clouds
225,Helong,CN,42.5397,128.9972,52.74,81,7,3.89,clear sky
226,Shimanovsk,RU,52.0,127.7,47.82,98,97,4.45,light rain
227,Tura,IN,25.5198,90.2201,72.46,92,29,4.36,scattered clouds
228,Payo,ID,-3.7508,103.6372,71.56,98,99,2.04,overcast clouds
229,Moron,AR,-34.6534,-58.6198,53.35,38,18,4.72,few clouds
230,Severobaykalsk,RU,55.65,109.3167,36.55,71,61,4.85,broken clouds
231,Taseyevo,RU,57.2169,94.8978,33.39,75,87,5.01,overcast clouds
232,Paripiranga,BR,-10.6875,-37.8617,67.51,84,55,7.49,broken clouds
233,Sawakin,SD,19.1059,37.3321,84.67,81,5,8.55,clear sky
234,Mbandaka,CD,0.0487,18.2603,72.1,93,93,2.37,overcast clouds
235,Klaksvik,FO,62.2266,-6.589,47.32,82,22,11.61,few clouds
236,Port-Gentil,GA,-0.7193,8.7815,80.56,89,90,10.36,overcast clouds
237,Falam,MM,22.9167,93.6833,63.75,90,53,3.67,broken clouds
238,Aksarka,RU,66.5606,67.7975,38.62,76,9,8.1,clear sky
239,Obama,JP,35.4958,135.746,63.95,82,37,2.06,scattered clouds
240,Zapolyarnyy,RU,69.4154,30.8136,38.48,93,90,9.26,overcast clouds
241,Snasa,NO,64.2457,12.3778,48.09,77,13,3.29,few clouds
242,Tautira,PF,-17.7333,-149.15,84.22,72,100,13.78,overcast clouds
243,Nioro,GM,13.35,-15.75,82.02,44,48,9.06,scattered clouds
244,Vao,NC,-22.6667,167.4833,68.41,64,99,20.22,overcast clouds
245,Severo-Kurilsk,RU,50.6789,156.125,41.43,89,100,9.42,overcast clouds
246,Quesnel,CA,52.9999,-122.5029,63.1,34,1,3.44,clear sky
247,Richards Bay,ZA,-28.783,32.0377,63.7,86,10,4.79,clear sky
248,Clyde River,CA,70.4692,-68.5914,32.23,80,20,4.61,few clouds
249,Kariba,ZW,-16.5167,28.8,59.79,52,0,2.91,clear sky
250,Vestmannaeyjar,IS,63.4427,-20.2734,45.45,87,100,36.08,moderate rain
251,Tarauaca,BR,-8.1614,-70.7656,81.18,67,96,1.83,overcast clouds
